frame_id,pred_label,description,numeric_score,phone_risk,smoothed_label
5214,0,day slow traffic_jam_proximity pedestrian_crossing,86,safe,2
5273,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
5274,0,day slow traffic_jam_proximity pedestrian_crossing,99,safe,0
5333,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
5334,0,day slow traffic_jam_proximity pedestrian_crossing,93,safe,0
5393,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
5394,0,day slow traffic_jam_proximity pedestrian_crossing,96,safe,0
5453,0,day slow traffic_jam_proximity pedestrian_crossing,89,danger,2
5454,0,day slow traffic_jam_proximity pedestrian_crossing,89,danger,2
5513,0,day slow traffic_jam_proximity pedestrian_crossing,99,safe,0
5514,0,day slow traffic_jam_proximity pedestrian_crossing,99,safe,0
5573,0,day slow traffic_jam_proximity pedestrian_crossing,94,safe,0
5574,0,day slow traffic_jam_proximity pedestrian_crossing,94,safe,0
5633,0,day slow traffic_jam_proximity pedestrian_crossing,94,danger,2
5634,0,day slow traffic_jam_proximity pedestrian_crossing,71,danger,2
5693,0,day slow traffic_jam_proximity pedestrian_crossing,94,safe,0
5694,0,day slow traffic_jam_proximity pedestrian_crossing,86,safe,1
5753,0,day slow traffic_jam_proximity,64,safe,0
5754,0,day slow traffic_jam_proximity,64,danger,2
5813,0,day slow traffic_jam_proximity pedestrian_crossing,100,danger,2
5814,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
5873,0,day slow traffic_jam_proximity pedestrian_crossing,96,safe,0
5874,0,day slow traffic_jam_proximity pedestrian_crossing,81,safe,0
5933,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,0
5934,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,0
5993,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
5994,0,day slow traffic_jam_proximity pedestrian_crossing,83,safe,0
6052,0,day slow traffic_jam_proximity pedestrian_crossing,79,danger,2
6053,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
6112,0,night slow traffic_jam_proximity pedestrian_crossing,96,safe,1
6113,0,night slow traffic_jam_proximity pedestrian_crossing,96,safe,0
6172,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
6173,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
6232,0,day slow traffic_jam_proximity pedestrian_crossing,81,safe,0
6233,0,day slow traffic_jam_proximity pedestrian_crossing,89,safe,0
6292,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
6293,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,0
6352,0,day slow traffic_jam_proximity pedestrian_crossing,83,safe,0
6353,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
6412,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
6413,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
6472,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
6473,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
6532,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
6533,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
6592,0,day slow traffic_jam_proximity,89,safe,0
6593,0,day slow traffic_jam_proximity,96,safe,0
6652,0,day slow traffic_jam_proximity pedestrian_crossing,99,safe,0
6653,0,day slow traffic_jam_proximity pedestrian_crossing,76,danger,2
6712,0,day slow traffic_jam_proximity pedestrian_crossing,100,danger,2
6713,0,day slow traffic_jam_proximity pedestrian_crossing,94,safe,0
6772,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,0
6773,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,0
6832,0,day slow traffic_jam_proximity pedestrian_crossing,71,safe,0
6833,0,day slow traffic_jam_proximity pedestrian_crossing,53,safe,2
6892,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,1
6893,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
6952,0,day slow traffic_jam_proximity pedestrian_crossing,99,safe,0
6953,0,day slow traffic_jam_proximity pedestrian_crossing,99,safe,0
7011,0,day slow traffic_jam_proximity pedestrian_crossing,61,safe,0
7012,0,day slow traffic_jam_proximity pedestrian_crossing,61,safe,0
7071,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
7072,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
7131,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
7132,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
7191,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,1
7192,0,day slow traffic_jam_proximity pedestrian_crossing,91,safe,0
7251,0,night slow traffic_jam_proximity pedestrian_crossing,96,safe,0
7252,0,night slow traffic_jam_proximity pedestrian_crossing,88,safe,0
7311,0,day slow traffic_jam_proximity pedestrian_crossing,86,safe,0
7312,0,day slow traffic_jam_proximity pedestrian_crossing,88,safe,0
7371,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,0
7372,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,0
7431,0,day slow traffic_jam_proximity pedestrian_crossing,61,safe,0
7432,0,day slow traffic_jam_proximity pedestrian_crossing,66,safe,0
7491,0,day slow traffic_jam_proximity pedestrian_crossing,89,safe,0
7492,0,day slow traffic_jam_proximity pedestrian_crossing,89,safe,0
7551,0,day slow traffic_jam_proximity pedestrian_crossing,86,safe,0
7552,0,day slow traffic_jam_proximity pedestrian_crossing,86,safe,0
7611,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
7612,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
7671,0,day slow traffic_jam_proximity pedestrian_crossing,93,safe,1
7672,0,day slow traffic_jam_proximity pedestrian_crossing,93,safe,1
7731,0,day slow traffic_jam_proximity pedestrian_crossing,94,safe,1
7732,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,1
7791,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,2
7792,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
7851,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
7852,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
7911,0,day slow traffic_jam_proximity pedestrian_crossing,99,safe,0
7912,0,day slow traffic_jam_proximity pedestrian_crossing,99,safe,0
7971,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
7972,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
8030,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
8031,0,day slow traffic_jam_proximity pedestrian_crossing,81,safe,0
8090,0,day slow traffic_jam_proximity pedestrian_crossing,99,safe,0
8091,0,day slow traffic_jam_proximity pedestrian_crossing,99,safe,0
8150,0,day slow traffic_jam_proximity pedestrian_crossing,96,safe,0
8151,0,day slow traffic_jam_proximity pedestrian_crossing,96,safe,0
8210,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
8211,0,day slow traffic_jam_proximity pedestrian_crossing,96,safe,1
8270,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
8271,0,day slow traffic_jam_proximity pedestrian_crossing,88,safe,0
8330,0,day slow traffic_jam_proximity pedestrian_crossing,94,safe,0
8331,0,day slow traffic_jam_proximity pedestrian_crossing,99,safe,0
8390,0,day slow traffic_jam_proximity pedestrian_crossing,91,safe,0
8391,0,day slow traffic_jam_proximity pedestrian_crossing,83,safe,0
8450,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
8451,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
8510,0,day slow traffic_jam_proximity pedestrian_crossing,94,safe,0
8511,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
8570,0,day slow traffic_jam_proximity pedestrian_crossing,89,safe,0
8571,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,1
8630,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
8631,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
8690,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
8691,0,day slow traffic_jam_proximity pedestrian_crossing,91,safe,0
8750,0,day slow traffic_jam_proximity pedestrian_crossing,99,safe,0
8751,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
8810,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
8811,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
8870,0,day slow traffic_jam_proximity pedestrian_crossing,97,safe,0
8871,0,day slow traffic_jam_proximity pedestrian_crossing,89,safe,0
8930,0,day slow traffic_jam_proximity,94,safe,0
8931,0,day slow traffic_jam_proximity pedestrian_crossing,63,safe,0
8990,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
8991,0,day slow traffic_jam_proximity pedestrian_crossing,96,safe,0
9049,0,day slow traffic_jam_proximity pedestrian_crossing,61,safe,2
9050,0,day slow traffic_jam_proximity pedestrian_crossing,41,safe,0
9109,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
9110,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
9169,0,day slow traffic_jam_proximity pedestrian_crossing,74,safe,0
9170,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
9229,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
9230,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
9289,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
9290,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
9349,0,day slow traffic_jam_proximity pedestrian_crossing,91,safe,0
9350,0,day slow traffic_jam_proximity pedestrian_crossing,53,safe,2
9409,0,day slow traffic_jam_proximity pedestrian_crossing,94,safe,0
9410,0,day slow traffic_jam_proximity,79,safe,0
9469,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
9470,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
9529,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
9530,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
9589,0,day slow traffic_jam_proximity pedestrian_crossing,94,safe,0
9590,0,day slow traffic_jam_proximity pedestrian_crossing,99,safe,0
9649,0,day slow traffic_jam_proximity pedestrian_crossing,64,safe,0
9650,0,day slow traffic_jam_proximity pedestrian_crossing,61,safe,0
9709,0,day slow traffic_jam_proximity pedestrian_crossing,81,safe,0
9710,0,day slow traffic_jam_proximity pedestrian_crossing,81,safe,0
9769,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
9770,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
9829,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
9830,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
9889,0,day slow traffic_jam_proximity pedestrian_crossing,94,safe,0
9890,0,day slow traffic_jam_proximity pedestrian_crossing,94,safe,0
9949,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
9950,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
10008,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,2
10009,0,day slow traffic_jam_proximity pedestrian_crossing,69,safe,0
10068,0,day slow traffic_jam_proximity pedestrian_crossing,69,safe,0
10069,0,day slow traffic_jam_proximity pedestrian_crossing,69,safe,0
10128,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
10129,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,0
10188,0,day slow traffic_jam_proximity pedestrian_crossing,89,safe,0
10189,0,day slow traffic_jam_proximity pedestrian_crossing,99,safe,0
10248,0,day slow traffic_jam_proximity pedestrian_crossing,96,safe,1
10249,0,day slow traffic_jam_proximity pedestrian_crossing,91,safe,0
10308,0,day slow traffic_jam_proximity pedestrian_crossing,89,safe,0
10309,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
10368,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
10369,0,day slow traffic_jam_proximity pedestrian_crossing,69,safe,0
10428,0,day slow traffic_jam_proximity pedestrian_crossing,89,safe,0
10429,0,day slow traffic_jam_proximity pedestrian_crossing,89,safe,0
10488,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
10489,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
10548,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,0
10549,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,0
10608,0,day slow traffic_jam_proximity pedestrian_crossing,86,safe,2
10609,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
10668,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
10669,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
10728,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
10729,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,0
10788,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
10789,0,day slow traffic_jam_proximity pedestrian_crossing,61,safe,0
10848,0,day slow traffic_jam_proximity pedestrian_crossing,93,safe,0
10849,0,day slow traffic_jam_proximity pedestrian_crossing,93,safe,0
10908,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
10909,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
10968,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,2
10969,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
11027,0,day slow traffic_jam_proximity pedestrian_crossing,89,safe,0
11028,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
11087,0,day slow traffic_jam_proximity pedestrian_crossing,86,safe,0
11088,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
11147,0,day slow traffic_jam_proximity pedestrian_crossing,91,safe,1
11148,0,day slow traffic_jam_proximity pedestrian_crossing,91,safe,0
11207,0,day slow traffic_jam_proximity pedestrian_crossing,93,safe,0
11208,0,day slow traffic_jam_proximity pedestrian_crossing,93,safe,0
11267,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
11268,0,day slow traffic_jam_proximity pedestrian_crossing,96,safe,0
11327,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
11328,0,day slow traffic_jam_proximity pedestrian_crossing,72,safe,1
11387,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,1
11388,0,day slow traffic_jam_proximity pedestrian_crossing,98,safe,0
11447,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,0
11448,0,day slow traffic_jam_proximity pedestrian_crossing,81,safe,2
11507,0,day slow traffic_jam_proximity pedestrian_crossing,89,safe,0
11508,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,0
11567,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,0
11568,0,day slow traffic_jam_proximity pedestrian_crossing,89,safe,0
11627,0,day slow traffic_jam_proximity pedestrian_crossing,88,safe,0
11628,0,day slow traffic_jam_proximity pedestrian_crossing,88,safe,0
11687,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
11688,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
11747,0,day slow traffic_jam_proximity pedestrian_crossing,98,safe,0
11748,0,day slow traffic_jam_proximity pedestrian_crossing,98,safe,0
11807,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
11808,0,day slow traffic_jam_proximity pedestrian_crossing,88,safe,0
11867,0,day slow traffic_jam_proximity pedestrian_crossing,96,safe,0
11868,0,day slow traffic_jam_proximity pedestrian_crossing,81,safe,0
11927,0,day slow traffic_jam_proximity pedestrian_crossing,96,safe,2
11928,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
11987,0,night slow traffic_jam_proximity pedestrian_crossing,94,safe,0
11988,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
12046,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
12047,0,day slow traffic_jam_proximity pedestrian_crossing,94,safe,1
